,time,passenger_pos,destination_pos,distance,reward,wait_time
26,2022/6/29 20:17,[ 1.90124911 29.69880697],[ 9.67061535 24.29623338],9.463131255,29.15782814,10
27,2022/6/29 21:21,[ 7.63921964 20.44508167],[22.8068358  17.86916222],15.38479577,88.19298413,13
28,2022/6/29 18:41,[14.14728566 12.35522742],[10.466048   27.88587433],15.96096814,90.35363052,15
29,2022/6/29 22:36,[24.91858223 28.95080732],[ 3.7289167  21.92602426],22.32374302,114.2140363,4
30,2022/6/29 23:50,[28.1502137   5.43699198],[ 1.99488802 22.23361948],31.0842043,147.0657661,12
31,2022/6/29 18:57,[17.2341934 25.2548633],[ 4.1931713  23.85801936],13.1156178,79.68356676,16
32,2022/6/29 20:27,[6.0488196  4.90967829],[ 4.92797394 24.43724161],19.55970409,103.8488904,8
33,2022/6/29 22:47,[19.95591662 15.69196274],[10.76491452 26.31601622],14.04795472,83.17983021,5
34,2022/6/29 23:42,[11.77335322 24.49798318],[13.17404726 11.30833288],13.26381615,80.23931056,18
35,2022/6/29 18:54,[13.88039357  9.04133622],[22.42828141 15.0816117 ],10.46667637,69.7500364,2
36,2022/6/29 18:23,[ 6.96638085 26.9872372 ],[11.51673664 16.30658583],11.60956723,74.03587713,16
37,2022/6/29 21:49,[27.19416333 18.72713988],[ 3.50694122 28.19496371],25.50929594,126.1598598,17
38,2022/6/29 22:03,[18.83124159 10.04716844],[ 4.17816218 23.82075568],20.11030685,105.9136507,11
39,2022/6/29 18:47,[18.60218268 16.00383276],[26.81677749 23.65791634],11.22784767,72.60442877,13
40,2022/6/29 21:16,[4.55024639 9.35166203],[ 7.45467419 22.31838878],13.28802857,80.33010714,6
41,2022/6/29 23:59,[ 1.00597304 17.09669055],[22.87376057 26.3029691 ],23.72668743,119.4750779,8
42,2022/6/29 23:49,[10.26245246 24.63771914],[ 3.31895211 25.39356875],6.984519009,22.96129752,8
43,2022/6/29 22:37,[ 3.82465987 11.91861872],[23.91886097  4.49752282],21.42077455,110.8279046,12
44,2022/6/29 18:51,[ 6.87754186 21.66757705],[21.6010961  19.23442899],14.92324559,86.46217096,5
45,2022/6/29 18:31,[20.81845333 16.2817333 ],[ 7.55397177 10.37087981],14.52186835,84.9570063,8
46,2022/6/29 22:16,[ 5.4479315  27.25351684],[17.50175384 12.0255425 ],19.42127275,103.3297728,9
47,2022/6/29 21:44,[13.86017411 28.41850019],[ 4.60054209 17.58689496],14.25006866,83.93775748,1
48,2022/6/29 20:35,[15.17666037 18.34362706],[ 0.54330551 26.16371727],16.59183188,92.71936954,14
49,2022/6/29 21:20,[27.96354847 16.95399551],[20.89952472 27.67498144],12.83900194,78.64625729,1
50,2022/6/29 21:32,[21.21715903  4.57617129],[17.28865081 18.20145139],14.18031857,83.67619464,18
51,2022/6/29 19:41,[12.72392014 22.09332707],[28.03101044 27.76705539],16.32477279,91.71789796,10
52,2022/6/29 23:54,[13.52518114  3.39714138],[29.54523597 25.16694259],27.02899187,131.8587195,17
53,2022/6/29 21:39,[ 3.73988044 27.62525648],[26.09689086 15.56514171],25.40240704,125.7590264,1
54,2022/6/29 19:06,[17.73826307 11.97008112],[ 1.64284916 10.05591725],16.20883624,91.28313589,15
55,2022/6/29 21:51,[24.08560346  0.13896069],[10.00497515 11.94506081],18.37520322,99.40701209,16
56,2022/6/29 20:13,[16.12186809 27.59566849],[10.39037983 10.40859606],18.11754444,98.44079165,4
57,2022/6/29 18:11,[22.12503744 13.56653823],[ 6.73814469 13.57318548],15.38689419,88.20085322,3
58,2022/6/29 18:36,[4.22571061 5.2916096 ],[14.95103318 12.56776349],12.96051541,79.10193279,1
59,2022/6/29 18:38,[27.44537703 10.87181697],[17.41765051 18.96792864],12.88806903,78.83025886,11
60,2022/6/29 23:46,[ 0.3928337  19.90612116],[ 5.34107901 28.83210952],10.20580227,68.7717585,20
61,2022/6/29 19:48,[ 4.45988183 12.43872371],[ 2.56049004 29.90622756],17.57046897,96.38925862,8
62,2022/6/29 20:54,[15.06585031 17.86155052],[ 2.01229432 22.49881411],13.85278086,82.44792823,17
63,2022/6/29 23:40,[ 6.29716779 26.94162868],[6.15418921 5.72063162],21.22147872,110.0805452,20
64,2022/6/29 18:31,[ 1.09649004 14.16200835],[16.945234    1.97125918],19.99492562,105.4809711,6
65,2022/6/29 20:41,[23.2658285  13.59866504],[15.73170808 13.22288241],7.543486138,24.35871534,11
66,2022/6/29 20:55,[12.02289183 16.78920994],[4.65720738 5.45784391],13.51492373,81.18096398,2
67,2022/6/29 23:25,[25.85356863 28.38346386],[11.19927949  8.12234019],25.00522591,124.2695971,4
68,2022/6/29 18:27,[19.3199863  12.26202513],[0.76159067 4.68457792],20.04574156,105.6715308,7
69,2022/6/29 22:36,[21.47916687 19.76771826],[0.81287978 6.65916486],24.47303811,122.2738929,2
70,2022/6/29 21:13,[ 6.9322439  20.15678231],[0.59131613 3.12325746],18.17548716,98.65807687,19
71,2022/6/29 18:30,[23.99748256  5.35633986],[19.58238324  7.14548343],4.76383635,17.40959087,6
72,2022/6/29 23:31,[2.98324178 7.29516573],[21.66800796 25.67089404],26.20663805,128.7748927,16
73,2022/6/29 18:47,[24.90659594 11.91550589],[20.0425541   6.14952886],7.543566404,24.35891601,6
74,2022/6/29 21:13,[ 8.79443191 26.89007456],[0.39005771 2.56525593],25.73577874,127.0091703,10
75,2022/6/29 18:57,[6.23658765 0.79596612],[ 5.44306305 17.49124683],16.71412814,93.17798051,16
76,2022/6/29 19:06,[12.64273652 26.78015133],[24.52330685 10.25452055],20.35299546,106.823733,19
77,2022/6/29 19:05,[ 7.782703   11.39077225],[17.70884828  8.04190922],10.47584094,69.78440354,14
78,2022/6/29 19:33,[18.72446724 12.28234957],[16.56141543 13.08379587],2.306752981,13,13
79,2022/6/29 22:38,[ 8.83397279 28.45359921],[22.90817382  4.20339527],28.03846511,135.6442442,17
80,2022/6/29 22:58,[26.05403928 14.62293595],[26.83656681 23.99565768],9.405331572,29.01332893,11
81,2022/6/29 19:50,[12.75640513  0.67407925],[ 8.06032078 16.24902644],16.26751942,91.50319784,19
82,2022/6/29 19:23,[19.00434659  7.73663056],[ 4.18068222 25.0479071 ],22.79081659,115.9655622,14
83,2022/6/29 21:32,[29.53206542 15.77070547],[5.15037858 8.1692198 ],25.53917066,126.27189,7
84,2022/6/29 21:34,[ 0.5517203 27.4289642],[ 3.53253249 17.29549427],10.56278629,70.11044858,7
85,2022/6/29 20:06,[ 8.22165662 16.62534008],[19.54261165 24.89225411],14.01805587,83.06770952,18
86,2022/6/29 22:03,[6.19263815 0.32987486],[ 4.1065689  27.00055926],26.7521418,130.8205318,16
87,2022/6/29 18:34,[26.21670233 17.92239307],[18.01550581 19.95110024],8.448389021,26.62097255,15
88,2022/6/29 22:28,[ 5.26113836 27.43235838],[12.56311575 11.49415585],17.53126275,96.24223532,4
89,2022/6/29 20:52,[15.56753116  1.408979  ],[ 4.98850106 22.14100849],23.27515681,117.781838,4
90,2022/6/29 19:38,[ 2.48396004 18.09456328],[ 7.36047329 11.67886842],8.058630285,25.64657571,15
91,2022/6/29 19:38,[ 8.6608121  10.67018149],[21.57137716  8.91365147],13.02950834,79.36065629,8
92,2022/6/29 21:27,[16.99213921 14.28151207],[19.91013496 28.10489218],14.12800541,83.4800203,16
93,2022/6/29 22:58,[21.97716292  6.44821136],[0.93549405 7.86792133],21.08950936,109.5856601,18
94,2022/6/29 18:28,[17.85233792  1.5427744 ],[14.89098742 17.90528547],16.6283302,92.85623823,4
95,2022/6/29 18:17,[10.02731672 23.12736611],[3.19794759 2.25413345],21.96206102,112.8577288,20
96,2022/6/29 21:55,[21.84566269 14.86473949],[20.65207189 13.04482016],2.176411115,13,14
97,2022/6/29 23:33,[ 7.392061   24.57306953],[23.98247637 20.84089413],17.00502912,94.26885921,2
98,2022/6/29 18:55,[ 8.16435412 17.70692001],[10.82921691  2.7474622 ],15.19496205,87.48110767,10
99,2022/6/29 20:59,[27.51940726  4.10455893],[28.50712061 13.38017319],9.32805433,28.82013583,8
100,2022/6/29 20:32,[ 5.55398787 16.25702842],[26.18837508 21.96674659],21.40978321,110.786687,10
101,2022/6/29 18:31,[24.19683444 19.763501  ],[20.76829694 25.47586955],6.662283677,22.15570919,20
102,2022/6/29 21:38,[ 7.49004027 14.68274891],[ 6.63628325 29.63004024],14.97165386,86.64370196,13
103,2022/6/29 18:56,[28.32178019  1.18280434],[21.16725518 27.75744952],27.52088288,133.7033108,1
104,2022/6/29 22:02,[ 5.41726035 17.03835692],[27.46464893  1.01837936],27.25301862,132.6988198,9
105,2022/6/29 22:46,[20.92260802  8.92047022],[27.73188586 29.13174735],21.32749371,110.4781014,4
106,2022/6/29 19:56,[28.32799467 14.2264265 ],[25.86127953 25.33648196],11.38059822,73.17724332,2
107,2022/6/29 20:24,[ 9.5730142  24.86746422],[ 1.11022904 17.88809635],10.96951724,71.63568965,1
108,2022/6/29 18:00,[6.90026512 3.61700657],[ 2.30859605 20.88866328],17.87158499,97.51844372,7
109,2022/6/29 23:27,[10.19624891 21.74300315],[1.96069022 9.45871013],14.78946523,85.9604946,19
110,2022/6/29 21:01,[16.18473877 23.72169495],[ 9.56257509 18.77674129],8.264721318,26.1618033,8
111,2022/6/29 23:59,[26.57933245 18.47589565],[6.98878424 0.73202345],26.43169649,129.6188619,7
112,2022/6/29 18:06,[26.10296622  0.63808233],[26.24105018 15.86811402],15.23065766,87.61496621,9
113,2022/6/29 21:14,[28.17203096 23.96349707],[29.93802332 10.52135446],13.55765197,81.34119489,18
114,2022/6/29 23:11,[23.01564867 12.05792741],[14.39626861 18.8251639 ],10.9585219,71.59445713,6
115,2022/6/29 23:36,[26.21031343 29.52250408],[23.04820242 12.53300347],17.28126376,95.30473909,3
116,2022/6/29 20:13,[12.64071007 22.12746905],[7.16331437 3.31422339],19.59438888,103.9789583,11
117,2022/6/29 22:20,[10.63866473  8.61716975],[8.88924361 7.00823253],2.376794735,13,7
118,2022/6/29 23:43,[1.26279569 0.53621804],[29.63167169 12.83319401],30.91939106,146.4477165,11
119,2022/6/29 18:45,[11.52979941 20.38941848],[ 6.54761664 28.49883552],9.517604212,29.29401053,7
120,2022/6/29 18:18,[23.59035043  2.68233007],[12.52742327 26.37354923],26.14693524,128.5510072,9
121,2022/6/29 19:51,[28.34196067 14.02204534],[18.40234168  5.01101838],13.41620783,80.81077936,16
122,2022/6/29 20:27,[29.73505878  6.95015104],[28.28195322 19.48939947],12.6231639,77.83686464,6
123,2022/6/29 23:47,[18.23210385 15.38065533],[6.92009435 5.29584096],15.15470355,87.33013831,13
124,2022/6/29 19:41,[6.61458627 5.59314786],[23.38753421 10.50375778],17.47700982,96.03878681,1
125,2022/6/29 21:45,[ 1.7352803 29.0730789],[26.51357655 27.8325685 ],24.80932952,123.5349857,17
126,2022/6/29 23:29,[29.84723468  5.21685748],[11.88726057 22.74715427],25.09725036,124.6146889,10
127,2022/6/29 20:34,[20.88061854  4.61687719],[24.47499375  6.73321716],4.171142288,15.92785572,17
128,2022/6/29 22:15,[ 6.71452844 16.10923269],[17.78819805 17.40258624],11.14894263,72.30853487,1
129,2022/6/29 22:50,[ 2.74460512 26.32382588],[7.96800128 3.88544764],23.03833079,116.8937405,11
130,2022/6/29 18:52,[26.6624424  28.66954495],[25.86382852 24.28548224],4.456208021,16.64052005,12
131,2022/6/29 18:04,[19.65725942 16.52572112],[ 2.6096028  12.25359639],17.57480145,96.40550543,1
132,2022/6/29 21:27,[11.18065551  7.79261351],[21.70260341 14.87627205],12.68422666,78.06584997,1
133,2022/6/29 18:05,[2.43138648 6.60549606],[20.49776291  2.28392578],18.5760579,100.1602171,13
134,2022/6/29 19:30,[25.53620742 14.85439581],[14.41759732 17.77223354],11.49509755,73.6066158,20
135,2022/6/29 21:31,[24.74042898 10.43427624],[20.34048458 16.97195892],7.880406436,25.20101609,12
136,2022/6/29 22:51,[ 8.01084811 26.35889959],[23.92278065 19.75355504],17.22846987,95.10676199,4
137,2022/6/29 18:31,[25.51745187 26.01882603],[21.2508893  25.11039985],4.362200625,16.40550156,3
138,2022/6/29 18:22,[20.92414385 20.40422315],[18.55834135 22.58149919],3.215206434,13.53801609,15
139,2022/6/29 19:46,[ 4.75815316 26.42612278],[26.15530583  0.87741849],33.32528219,155.4698082,3
140,2022/6/29 23:11,[24.77450252  3.86609602],[10.05356563 22.30524769],23.59466671,118.9800002,11
141,2022/6/29 22:07,[ 4.82279688 24.53901072],[24.96402534 15.22403201],22.19094212,113.7160329,12
142,2022/6/29 21:50,[0.19157615 8.611144  ],[18.50780755 29.43558534],27.73340387,134.5002645,11
143,2022/6/29 23:14,[18.95440581  7.79410743],[19.02017109 16.19956139],8.405711233,26.51427808,18
144,2022/6/29 23:22,[23.39536185  3.20941916],[22.83083708 16.23799736],13.04080281,79.40301055,10
145,2022/6/29 20:10,[28.88976012 10.25616498],[18.97865679 27.96084317],20.29003693,106.5876385,17
146,2022/6/29 22:16,[ 3.07529184 28.11685462],[20.63657167  2.03511177],31.44289839,148.410869,2
147,2022/6/29 18:39,[ 9.02890701 21.24516266],[ 2.02051804 17.46511381],7.962806366,25.40701591,16
148,2022/6/29 23:51,[10.37649171 18.62746553],[ 1.37226101 26.14610418],11.73056254,74.48960953,16
149,2022/6/29 22:38,[29.20466908 29.06633566],[22.48955495  3.9025872 ],26.04432748,128.1662281,6
150,2022/6/29 20:17,[22.74789588  0.73760749],[0.66370655 9.70830657],23.83662855,119.887357,12
151,2022/6/29 19:14,[14.65929571 23.11222253],[20.4988613  13.37708119],11.35224661,73.07092481,4
152,2022/6/29 23:10,[ 8.20879999 29.913735  ],[12.78543907 13.54161073],16.99976701,94.2491263,14
153,2022/6/29 18:45,[ 4.90871464 23.84428646],[20.81046677  6.62308838],23.44003806,118.4001427,1
154,2022/6/29 19:15,[ 2.47143137 20.41497906],[19.63533643  8.19778581],21.06797209,109.5048953,1
155,2022/6/29 22:28,[28.52590687  4.53173675],[12.97004403 28.30847761],28.41334676,137.0500503,6
156,2022/6/29 19:16,[12.59181951 19.15577843],[11.92783194  8.22645607],10.94947335,71.56052508,1
157,2022/6/29 22:06,[29.51932944 12.28002019],[26.82297611  6.89863818],6.019102395,20.54775599,13
158,2022/6/29 19:40,[6.39314112 0.93402249],[19.55000476 11.05579031],16.59979653,92.74923698,2
159,2022/6/29 20:34,[25.9307475 14.1962972],[29.04580284  5.56576547],9.175491688,28.43872922,7
160,2022/6/29 22:21,[26.05869504 23.29790558],[23.12765534 25.34349684],3.574274377,14.43568594,5
161,2022/6/29 18:42,[22.83071973 18.78660965],[3.93734633 0.97578538],25.96507307,127.869024,1
162,2022/6/29 22:09,[27.62543543 18.49950944],[23.89611873 14.44567055],5.508303989,19.27075997,16
163,2022/6/29 21:50,[3.51924567 3.75557377],[20.56695862 12.90917685],19.34975364,103.0615762,20
164,2022/6/29 19:41,[ 6.0157418 14.7478364],[ 1.92626811 17.45914206],4.90662546,17.76656365,20
165,2022/6/29 18:24,[ 8.06980213 23.92677302],[ 9.31085877 13.65660447],10.344882,69.29330749,20
166,2022/6/29 19:34,[0.3486162  2.17340663],[11.77480669 14.39816504],16.73327665,93.24978743,7
167,2022/6/29 18:00,[18.00061644  8.74987736],[20.84945658 25.80367192],17.29010696,95.33790112,11
168,2022/6/29 18:55,[23.39552967  1.18856476],[14.41520842  3.14790535],9.191582306,28.47895577,12
169,2022/6/29 20:55,[ 7.26135048 29.5998778 ],[ 4.27486629 14.9666446 ],14.93487869,86.50579509,1
170,2022/6/29 23:40,[18.54467203 21.07394912],[16.7894605   0.29312542],20.85481721,108.7055645,9
171,2022/6/29 19:44,[ 9.79383925 15.5313493 ],[ 2.63599497 10.51880794],8.738438395,27.34609599,19
172,2022/6/29 22:09,[0.99609326 2.35735491],[11.90769829  3.98147262],11.03181229,71.8692961,2
173,2022/6/29 18:48,[17.02622545 20.68394907],[24.01760097  6.00450733],16.25931554,91.47243326,11
174,2022/6/29 19:59,[5.02447747 3.13703521],[19.09290749 21.19427179],22.89070808,116.3401553,2
175,2022/6/29 21:48,[ 0.94758434 28.08636739],[ 1.55913851 16.23889006],11.86325072,74.98719018,20
176,2022/6/29 20:01,[21.27181558 26.12907371],[21.42260796 24.05184249],2.082697262,13,18
177,2022/6/29 21:11,[10.18350578 24.44475341],[ 2.40344539 26.84449968],8.141751762,25.8543794,18
178,2022/6/29 23:57,[16.42777128 24.5189331 ],[13.56954854 19.30733086],5.943924228,20.35981057,4
179,2022/6/29 18:55,[15.79207983 21.94768565],[2.44889946 1.81056252],24.15665934,121.0874725,15
180,2022/6/29 21:41,[7.41309702 4.7863404 ],[26.153507    6.57641962],18.82570981,101.0964118,14
181,2022/6/29 21:21,[29.27595767 10.10687375],[ 5.46353747 23.69095521],27.41456958,133.3046359,14
182,2022/6/29 18:48,[19.76123327 14.94587149],[16.66090653 21.57605335],7.319244312,23.79811078,16
183,2022/6/29 18:42,[ 6.85364224 29.89001748],[29.24379486 19.50977059],24.67931239,123.0474215,17
184,2022/6/29 22:09,[ 5.98627353 20.40684727],[2.16595227 0.91957507],19.85821323,104.9682996,19
185,2022/6/29 20:30,[ 7.73048666 13.8786887 ],[26.04817516 21.81507209],19.96306323,105.3614871,12
186,2022/6/29 22:22,[22.28119564 12.76480003],[10.37804978 11.13116289],12.01472645,75.55522419,17
187,2022/6/29 20:23,[29.62948691  1.20327574],[26.01094488 17.36026226],16.55723587,92.58963451,17
188,2022/6/29 18:01,[13.15846258 21.75772981],[14.60006824 26.20269714],4.672896475,17.18224119,17
189,2022/6/29 20:22,[27.02105592 12.65162781],[ 8.30483392 17.77050986],19.40360584,103.2635219,9
190,2022/6/29 19:54,[27.37090037  6.31986567],[18.68899751 18.9468066 ],15.32367693,87.96378848,5
191,2022/6/29 22:02,[21.99339067  3.94703055],[21.47474894 27.27097562],23.32971073,117.9864152,19
192,2022/6/29 19:24,[5.39049327 7.12629975],[29.14185282  5.42930858],23.81190584,119.7946469,12
193,2022/6/29 18:16,[25.6315528  14.76833569],[ 7.41693223 26.12249704],21.46367588,110.9887846,9
194,2022/6/29 23:27,[13.35915765 15.44452062],[10.77700108 17.78852554],3.487390376,14.21847594,3
195,2022/6/29 22:05,[ 4.90571618 11.7324461 ],[29.08236967  7.74400298],24.50343349,122.3878756,15
196,2022/6/29 20:14,[19.70209994  9.75570193],[23.20419377  3.92620982],6.8005617,22.50140425,11
197,2022/6/29 23:56,[29.09463135 13.61368624],[7.0815139  2.20490242],24.79390426,123.477141,7
198,2022/6/29 23:43,[ 5.09273715 15.59321846],[10.11009529 24.86650098],10.54360713,70.03852675,18
199,2022/6/29 21:10,[12.92662571  7.46142818],[18.5143496  21.20331651],14.83449201,86.12934503,1
200,2022/6/29 21:14,[5.01125724 5.02857649],[ 1.10014281 22.09206045],17.50597901,96.14742128,1
201,2022/6/29 21:18,[19.91413583 14.23892627],[25.32511347 24.17010459],11.30959689,72.91098833,19
202,2022/6/29 19:02,[17.56063093 26.04813842],[6.1752363  3.35758858],25.38677338,125.7004002,7
203,2022/6/29 18:21,[8.09248835 1.71260568],[15.93508584 28.09817077],27.52643058,133.7241147,15
204,2022/6/29 21:56,[1.18030622 3.66329742],[13.56597085 28.01625053],27.32162172,132.9560814,19
205,2022/6/29 23:28,[ 9.48468315 15.21704426],[1.24718577 4.45029603],13.55651985,81.33694945,11
206,2022/6/29 21:18,[29.59890369 28.95356089],[ 0.14819943 28.55435356],29.45340978,140.9502867,7
207,2022/6/29 22:34,[19.17359813 26.03754884],[13.64219567 15.46788086],11.9295555,75.23583312,19
208,2022/6/29 19:06,[14.66539741 20.00592773],[4.18953764 0.8992077 ],21.79014429,112.2130411,14
209,2022/6/29 18:25,[ 9.23789825 21.14042288],[ 6.05560356 20.202973  ],3.317500827,13.79375207,3
210,2022/6/29 23:27,[29.09736138  2.81702147],[20.17806355 13.31250658],13.77349199,82.15059495,9
211,2022/6/29 22:34,[26.04426763  5.31449368],[20.77877857 25.14345869],20.51616992,107.4356372,10
212,2022/6/29 23:01,[28.33842658 20.49744085],[14.91524292 18.53541721],13.56581721,81.37181452,10
213,2022/6/29 21:20,[26.06714953 17.1182924 ],[ 0.91161179 27.92846087],27.37993465,133.1747549,1
214,2022/6/29 23:08,[20.68580253 20.29540157],[ 6.47025457 19.76656411],14.22538129,83.84517984,6
215,2022/6/29 21:06,[11.81593217 19.53698931],[ 3.19779091 19.73535914],8.620423967,27.05105992,17
216,2022/6/29 18:01,[29.98241177  1.44636117],[29.31522553 12.20723882],10.78154096,70.93077859,1
217,2022/6/29 23:18,[26.12260351 23.47156452],[17.01048783 22.15347628],9.206954371,28.51738593,4
218,2022/6/29 18:44,[26.35546684 12.12420965],[ 9.81099485 20.02780157],18.33538433,99.25769125,5
219,2022/6/29 20:53,[24.23537826 22.86855404],[23.93440947 13.06749944],9.805674554,30.01418639,5
220,2022/6/29 20:22,[24.53502649  3.60627166],[16.33467294  0.17275981],8.890151961,27.7253799,20
221,2022/6/29 19:14,[ 9.7375749  10.99384605],[11.88518075 20.8640162 ],10.1011123,68.37917114,3
222,2022/6/29 20:16,[11.65674304 13.46080868],[ 7.12632393 11.19755375],5.064288717,18.16072179,19
223,2022/6/29 23:07,[6.81808882 2.19587771],[18.1034578  20.04638396],21.11871507,109.6951815,20
224,2022/6/29 18:42,[18.58471038 13.90482131],[11.39357341 25.90000949],13.98559939,82.94599771,9
225,2022/6/29 18:15,[15.57245355 14.37545633],[ 0.76926197 10.23743483],15.37067672,88.14003771,1
226,2022/6/29 21:47,[11.40586856 11.96468343],[17.40517108 16.0080764 ],7.234684333,23.58671083,5
227,2022/6/29 19:10,[18.23715278 22.94649785],[24.38957216 21.54369229],6.310319139,21.27579785,11
228,2022/6/29 18:21,[28.66571088  0.54697748],[5.87333957 0.22688625],22.79461884,115.9798207,8
229,2022/6/29 18:58,[19.42424142 26.94091647],[ 7.3044689  27.81103634],12.15096682,76.06612558,15
230,2022/6/29 18:47,[ 1.80802171 28.0330808 ],[10.54868062  3.04262485],26.47493167,129.7809938,3
231,2022/6/29 18:02,[14.57615278  7.70329703],[8.54618706 9.21869895],6.217469703,21.04367426,13
232,2022/6/29 18:24,[24.09077693 16.1748383 ],[ 9.33923097 18.3100135 ],14.90527025,86.39476345,2
233,2022/6/29 19:43,[21.48452023  8.17872002],[12.40647305  3.6565828 ],10.14202473,68.53259275,9
234,2022/6/29 21:43,[ 5.43448049 20.43353562],[ 5.44315043 15.75490151],4.678642142,17.19660536,5
235,2022/6/29 21:16,[21.27138785  3.20630769],[17.01936659  7.69688351],6.184250642,20.9606266,20
236,2022/6/29 22:46,[28.88780626 14.5063694 ],[24.17977649 16.50679626],5.11539362,18.28848405,11
237,2022/6/29 20:55,[ 1.30237599 18.99454127],[28.54210027 18.0483546 ],27.25615248,132.7105718,14
238,2022/6/29 19:03,[24.57566578 26.5261939 ],[6.84239316 6.3613452 ],26.85312051,131.1992019,2
239,2022/6/29 20:53,[18.32942967 12.33085409],[25.19583909 27.0006937 ],16.1972767,91.23978762,13
240,2022/6/29 19:45,[10.60264138  7.10611677],[23.41576546  8.24418107],12.86356634,78.73837378,1
241,2022/6/29 21:33,[24.67842956 12.71214761],[20.02649698  2.86605942],10.88971668,71.33643756,13
242,2022/6/29 19:51,[18.71577974 13.55303036],[17.5982539   5.04042623],8.585644593,26.96411148,16
243,2022/6/29 18:55,[22.10621235 25.88391233],[6.502194   2.87143667],27.8039462,134.7647983,19
244,2022/6/29 21:05,[ 0.70915758 19.25914501],[18.21282108 16.40092238],17.73549189,97.00809459,3
245,2022/6/29 20:44,[ 6.95841288 11.72717988],[17.83429006 14.90300577],11.33007389,72.98777708,5
246,2022/6/29 19:19,[29.63356561  4.09319258],[20.85433662 12.12956304],11.90202133,75.13258,3
247,2022/6/29 18:49,[12.84598845 21.52793297],[20.77308454 29.73767981],11.41222133,73.29582998,7
248,2022/6/29 22:23,[3.85182868 3.12328948],[21.73016451 17.35160751],22.84906838,116.1840064,6
249,2022/6/29 22:01,[8.22482    2.38258107],[ 2.56974749 26.82572624],25.08878616,124.5829481,10
250,2022/6/29 18:37,[5.75601974 9.70114686],[ 6.79969207 10.64988917],1.410448119,13,14
251,2022/6/29 20:16,[ 2.08271528 15.57179373],[ 2.02837691 24.01069523],8.439076449,26.59769112,7
252,2022/6/29 18:03,[ 7.01136246 16.20035744],[26.40237263 19.52632107],19.67417875,104.2781703,17
253,2022/6/29 18:59,[15.9887336   9.73001259],[ 9.99005739 20.08460866],11.96669444,75.37510415,15
254,2022/6/29 18:59,[29.82418084 19.8551757 ],[16.73350252 21.91951531],13.2524472,80.196677,15
255,2022/6/29 22:01,[13.95616837  1.80427028],[16.86890448 28.72875854],27.08158229,132.0559336,19
256,2022/6/29 18:25,[ 5.25908827 20.70014672],[ 6.02801066 16.07483053],4.688794248,17.22198562,11
