订单id,是否被司机接单,接单司机id,下单时间,乘客位置,目的地位置,订单距离,订单收益,乘客最长等待接单时间,接单时刻,乘客实际等待时间
1582,1,181,2022-06-29 18:14:00,[20.94211639 19.14419708],[9.61689673 2.80560371],19.87989521,105.049607,0:17:00,2022-06-29 18:14:00,0:22:02
225,1,224,2022-06-29 18:15:00,[15.57245355 14.37545633],[0.76926197 10.23743483],15.37067672,88.14003771,0:01:00,2022-06-29 18:15:00,0:36:04
1742,1,171,2022-06-29 18:15:00,[24.61924681 1.13092171],[11.01508877 16.26899927],20.35275185,106.8228195,0:01:00,2022-06-29 18:15:00,1:05:04
1657,1,206,2022-06-29 18:15:00,[28.42283994 12.70074082],[0.27930872 13.27181222],28.14932454,136.059967,0:03:00,2022-06-29 18:15:00,0:12:53
993,1,35,2022-06-29 18:15:00,[7.17199152 22.74121263],[22.80016635 9.37794075],20.56251161,107.6094185,0:09:00,2022-06-29 18:15:00,1:06:15
1207,1,65,2022-06-29 18:15:00,[20.43846332 21.47954081],[18.2197325 2.65735019],18.95250976,101.5719116,0:11:00,2022-06-29 18:15:00,0:48:00
2191,1,103,2022-06-29 18:15:00,[8.5455803 15.15492055],[15.93992378 24.16742479],11.65768194,74.21630729,0:11:00,2022-06-29 18:15:00,0:20:47
1037,1,76,2022-06-29 18:15:00,[11.75432684 24.07205353],[10.23733349 13.32550221],10.8530933,71.19909989,0:14:00,2022-06-29 18:15:00,0:34:11
2400,1,138,2022-06-29 18:15:00,[15.63803261 5.16299558],[9.16295078 9.64387434],7.874322778,25.18580695,0:14:00,2022-06-29 18:15:00,0:47:21
2844,1,204,2022-06-29 18:15:00,[13.42626706 27.51065136],[14.03609741 8.25120777],19.26909599,102.75911,0:15:00,2022-06-29 18:15:00,1:20:56
559,1,99,2022-06-29 18:16:00,[29.79765046 1.34733897],[22.8302377 11.15172199],12.02791615,75.60468557,0:03:00,2022-06-29 18:16:00,1:03:40
1902,1,74,2022-06-29 18:16:00,[9.16240496 4.7298308],[5.22031344 22.82277925],18.51742069,99.94032759,0:05:00,2022-06-29 18:16:00,0:24:07
193,1,36,2022-06-29 18:16:00,[25.6315528 14.76833569],[7.41693223 26.12249704],21.46367588,110.9887846,0:09:00,2022-06-29 18:16:00,1:17:52
1684,1,33,2022-06-29 18:16:00,[1.49343005 8.05500229],[19.6270734 16.00850794],19.80119374,104.7544765,0:20:00,2022-06-29 18:16:00,0:46:25
1920,1,13,2022-06-29 18:17:00,[10.06671605 29.28060473],[26.20666729 9.88134201],25.23547938,125.1330477,0:02:00,2022-06-29 18:17:00,0:41:16
1587,1,23,2022-06-29 18:17:00,[26.47485315 0.60365166],[22.58181413 14.21319878],14.15540623,83.58277337,0:03:00,2022-06-29 18:17:00,1:05:03
2895,1,261,2022-06-29 18:17:00,[8.33766032 26.70943369],[16.49965248 12.40249726],16.47138567,92.26769627,0:07:00,2022-06-29 18:17:00,0:59:28
1362,1,84,2022-06-29 18:17:00,[24.43875168 28.08489125],[15.405536 28.50837671],9.043136924,28.10784231,0:12:00,2022-06-29 18:17:00,1:12:38
1308,1,141,2022-06-29 18:17:00,[24.48170271 12.96201855],[23.89172168 17.86244405],4.935812767,17.83953192,0:15:00,2022-06-29 18:17:00,0:47:36
2141,1,64,2022-06-29 18:17:00,[28.80035642 24.6138387],[25.61845389 5.16582802],19.70658832,104.3997062,0:18:00,2022-06-29 18:17:00,1:25:54
95,1,146,2022-06-29 18:17:00,[10.02731672 23.12736611],[3.19794759 2.25413345],21.96206102,112.8577288,0:20:00,2022-06-29 18:17:00,0:54:42
1754,1,189,2022-06-29 18:17:00,[9.616085 22.33257761],[29.13659736 13.1410097],21.57626759,111.4110035,0:20:00,2022-06-29 18:17:00,0:58:01
1845,1,293,2022-06-29 18:18:00,[6.01019463 6.33020075],[20.64878995 6.5916825],14.64093049,85.40348934,0:01:00,2022-06-29 18:18:00,0:12:47
327,1,139,2022-06-29 18:18:00,[9.80794849 4.46664151],[9.16812646 26.29952285],21.84225446,112.4084542,0:04:00,2022-06-29 18:18:00,1:04:06
2560,1,284,2022-06-29 18:18:00,[25.63822688 14.14104331],[26.05884512 8.74730309],5.410115825,19.02528956,0:07:00,2022-06-29 18:18:00,0:11:23
120,1,134,2022-06-29 18:18:00,[23.59035043 2.68233007],[12.52742327 26.37354923],26.14693524,128.5510072,0:09:00,2022-06-29 18:18:00,0:40:34
24,1,164,2022-06-29 18:18:00,[8.6589166 17.43714664],[4.63088146 14.43420306],5.02421509,18.06053772,0:13:00,2022-06-29 18:18:00,0:30:43
1665,1,119,2022-06-29 18:18:00,[7.68877126 5.71240488],[20.0986047 0.0120463208],13.65642905,81.71160893,0:13:00,2022-06-29 18:18:00,0:33:23
1271,1,95,2022-06-29 18:18:00,[4.32720063 22.76930496],[15.01858597 27.35355337],11.6327578,74.12284174,0:15:00,2022-06-29 18:18:00,0:12:39
1544,1,251,2022-06-29 18:18:00,[22.10383706 13.60248692],[29.67839835 1.64234947],14.15693705,83.58851393,0:15:00,2022-06-29 18:18:00,0:47:55
1241,1,207,2022-06-29 18:18:00,[27.92016767 0.73933214],[20.90066964 21.75979172],22.16152237,113.6057089,0:20:00,2022-06-29 18:18:00,0:44:27
293,1,48,2022-06-29 18:19:00,[26.76254067 28.6600406],[23.60710159 9.46220687],19.45542638,103.4578489,0:02:00,2022-06-29 18:19:00,0:55:14
516,1,281,2022-06-29 18:19:00,[18.23256367 8.85904433],[4.09802711 19.54919281],17.72186216,96.9569831,0:08:00,2022-06-29 18:19:00,0:47:02
1711,1,129,2022-06-29 18:19:00,[10.18981861 21.2384348],[16.72274234 7.68063519],15.04968513,86.93631925,0:09:00,2022-06-29 18:19:00,0:55:58
2542,1,231,2022-06-29 18:19:00,[14.47354411 17.92047903],[14.17386342 20.94939972],3.043709753,13.10927438,0:11:00,2022-06-29 18:19:00,0:22:38
275,1,197,2022-06-29 18:19:00,[28.97466483 12.97493635],[9.35448399 15.18425589],19.74417861,104.5406698,0:15:00,2022-06-29 18:19:00,1:08:31
1549,1,148,2022-06-29 18:19:00,[28.84834327 9.38533884],[2.94133614 15.80451498],26.69042601,130.5890975,0:15:00,2022-06-29 18:19:00,0:18:25
842,1,187,2022-06-29 18:19:00,[17.65056663 11.93053243],[29.2140124 16.32595988],12.3706532,76.88994949,0:17:00,2022-06-29 18:19:00,0:44:51
1232,1,59,2022-06-29 18:19:00,[13.05043783 8.77965293],[16.36283851 4.00249007],5.813199057,20.03299764,0:19:00,2022-06-29 18:19:00,0:44:34
1572,1,98,2022-06-29 18:19:00,[4.48198165 15.29955238],[13.81747652 27.02280487],14.98619743,86.69824037,0:20:00,2022-06-29 18:19:00,0:59:32
1996,1,160,2022-06-29 18:20:00,[13.90643518 14.10972144],[26.20725917 22.88397159],15.1095247,87.16071762,0:02:00,2022-06-29 18:20:00,0:22:12
1253,1,268,2022-06-29 18:20:00,[24.63778261 7.33965164],[12.63902645 25.1651801],21.48766191,111.0787322,0:06:00,2022-06-29 18:20:00,0:02:27
2261,1,60,2022-06-29 18:20:00,[11.29162613 20.1678882],[23.47187426 15.92251807],12.89889964,78.87087365,0:06:00,2022-06-29 18:20:00,0:41:38
1177,1,136,2022-06-29 18:20:00,[26.62273606 26.81800532],[10.07449094 18.45209262],18.54273205,100.0352452,0:07:00,2022-06-29 18:20:00,0:02:25
319,1,177,2022-06-29 18:20:00,[17.71043071 15.25081641],[8.92645354 16.95065979],8.946939282,27.8673482,0:09:00,2022-06-29 18:20:00,0:46:01
2521,1,118,2022-06-29 18:20:00,[13.1834467 8.93542045],[13.67747811 2.13620153],6.817143465,22.54285866,0:11:00,2022-06-29 18:20:00,0:27:07
